Menu,Calories,Fat_Calories,Total_Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
Banana Shake - Medium,590,200,22,55,240,83,68,16
Banana Shake - Small,470,170,19,45,190,64,53,13
Caramel Shake - Large,980,280,31,85,450,154,124,22
Caramel Shake - Medium,750,220,25,65,330,115,93,17
Caramel Shake - Small,550,180,20,50,240,79,65,13
Chocolate Shake - Large,920,250,28,75,390,147,128,21
Chocolate Shake - Medium,710,210,23,60,290,110,96,16
Chocolate Shake - Small,530,170,19,45,220,77,67,13
Hot Fudge Shake - Large,990,340,38,75,440,140,112,23
Hot Fudge Shake - Medium,750,270,30,60,330,105,85,17
Hot Fudge Shake - Small,550,200,22,45,240,75,61,13
Make It A Malt Adds - Large,110,10,1,5,105,23,16,2
Make It A Malt Adds - Medium,80,10,1,5,80,18,12,1
Make It A Malt Adds - Small,60,5,0.5,0,50,12,8,1
Peanut Butter Shake - Large,1250,650,72,75,830,119,89,30
Peanut Butter Shake - Medium,930,480,53,60,590,91,69,22
Peanut Butter Shake - Small,640,310,34,45,370,67,54,16
Strawberry Shake - Large,800,250,27,75,340,120,105,21
Strawberry Shake - Medium,630,200,23,60,260,92,80,16
Strawberry Shake - Small,490,170,19,45,200,68,59,13
Vanilla Shake - Large,860,260,29,80,340,127,112,22
Vanilla Shake - Medium,660,210,23,60,260,97,85,16
Vanilla Shake - Small,520,170,19,50,200,73,65,13
Caramel MooLatte - Large,780,190,21,50,320,135,113,13
Caramel MooLatte - Medium,620,160,18,40,240,103,87,10
Caramel MooLatte - Small,490,140,15,30,190,81,69,8
Mocha MooLatte - Large,780,260,29,50,310,121,106,14
Mocha MooLatte - Medium,620,210,23,40,240,94,82,11
Mocha MooLatte - Small,500,160,18,30,180,76,67,9
Vanilla MooLatte - Large,700,170,19,45,240,121,109,12
Vanilla MooLatte - Medium,560,150,17,35,190,93,84,9
Vanilla MooLatte - Small,450,130,14,30,150,74,67,7
Mango Misty® Freeze - Large,640,140,15,50,210,115,101,12
Mango Misty® Freeze - Medium,490,110,12,40,170,86,75,10
Mango Misty® Freeze - Small,390,90,10,30,130,69,60,8
Mango Misty® Slush - Large,390,0,0,0,60,99,95,0
Mango Misty® Slush - Medium,290,0,0,0,45,74,71,0
Mango Misty® Slush - Small,230,0,0,0,35,57,55,0
Misty® Freeze - Large,590,140,15,50,210,102,90,12
Misty® Freeze - Medium,450,110,12,40,160,77,68,10
Misty® Freeze - Small,360,90,10,30,130,62,55,8
Misty® Slush - Large,340,0,0,0,55,86,85,0
Misty® Slush - Medium,260,0,0,0,40,65,64,0
Misty® Slush - Small,200,0,0,0,35,50,50,0
Add DQ Sprinkles,35,10,1.5,0,0,6,3,0
Caramel Sundae - Large,600,140,16,55,260,102,81,12
Caramel Sundae - Medium,430,100,11,35,190,73,58,9
Caramel Sundae - Small,300,70,8,25,130,50,40,6
Chocolate Sundae - Large,560,130,14,45,220,97,84,12
Chocolate Sundae - Medium,400,90,10,30,160,70,60,8
Chocolate Sundae - Small,270,60,7,25,110,48,41,6
Hot Fudge Sundae - Large,610,190,21,50,260,93,73,13
Hot Fudge Sundae - Medium,430,130,15,35,190,66,52,9
Hot Fudge Sundae - Small,300,90,10,25,125,46,36,6
Peanut Butter Sundae - Large,780,400,44,45,520,79,58,18
Peanut Butter Sundae - Medium,560,290,32,30,380,56,40,13
Peanut Butter Sundae - Small,380,190,22,25,260,39,28,9
Pineapple Sundae - Large,480,120,14,45,170,77,67,12
Pineapple Sundae - Medium,330,90,10,30,120,54,47,8
Pineapple Sundae - Small,230,60,7,25,85,38,33,6
Strawberry Sundae - Large,490,120,14,45,190,80,69,12
Strawberry Sundae - Medium,340,90,10,30,135,56,49,8
Strawberry Sundae - Small,240,60,7,25,95,39,34,6
Chocolate Cone - Kids',160,45,5,15,60,25,17,4
Chocolate Cone - Large,480,130,15,45,190,73,50,12
Chocolate Cone - Medium,340,90,10,30,130,52,35,8
Chocolate Cone - Small,240,70,7,25,90,36,25,6
"Dipped Cone, Butterscotch - Kids'",210,80,9,15,70,28,21,4
"Dipped Cone, Butterscotch - Large",640,270,30,45,220,83,63,12
"Dipped Cone, Butterscotch - Medium",460,190,21,30,150,59,45,8
"Dipped Cone, Butterscotch - Small",320,130,15,25,105,40,32,6
"Dipped Cone, Cherry - Kids'",210,80,9,15,65,28,20,4
"Dipped Cone, Cherry - Large",650,270,30,45,200,82,62,12
"Dipped Cone, Cherry - Medium",460,200,22,30,140,58,44,8
"Dipped Cone, Cherry - Small",320,140,15,25,95,40,31,6
"Dipped Cone, Chocolate - Kids'",200,80,9,15,65,28,20,4
"Dipped Cone, Chocolate - Large",640,270,30,45,200,81,60,13
"Dipped Cone, Chocolate - Medium",460,190,22,30,140,58,43,9
"Dipped Cone, Chocolate - Small",320,130,15,25,95,40,30,6
Vanilla Cone - Kids',160,40,4.5,15,65,25,18,4
Vanilla Cone - Large,450,120,14,45,180,71,52,12
Vanilla Cone - Medium,320,90,10,30,130,50,36,8
Vanilla Cone - Small,220,60,7,25,90,34,26,6
Mango Pineapple Smoothie - Large,420,0,0,0,180,96,92,8
Mango Pineapple Smoothie - Medium,330,0,0,0,135,77,74,6
Mango Pineapple Smoothie - Small,250,0,0,0,90,59,56,4
Mango Pineapple Smoothie - XLarge,590,5,0,0,230,136,130,10
Strawberry Banana Smoothie - Large,440,5,0,0,190,103,93,8
Strawberry Banana Smoothie - Medium,350,5,0,0,140,83,75,6
Strawberry Banana Smoothie - Small,260,0,0,0,100,62,56,4
Strawberry Banana Smoothie - XLarge,620,5,0.5,0,240,144,131,11
Tripleberry Smoothie - Large,460,0,0,0,180,107,104,8
Tripleberry Smoothie - Medium,370,0,0,0,135,87,84,6
Tripleberry Smoothie - Small,280,0,0,0,90,66,65,4
Tripleberry Smoothie - XLarge,660,0,0,0,220,153,149,10
